Applicant_ID,Age,Annual_Income,Credit_Score,Employment_Years,Loan_Amount_Requested,Default
10,32,82133,689,1,10789,No
38,30,53172,588,3,5442,Yes
6,31,90000,573,4,5000,Yes
15,29,74634,621,7,16074,Yes
35,36,78232,701,5,17742,No
40,26,61280,607,1,6518,Yes
35,24,45001,560,1,9820,Yes
19,42,90000,702,2,8425,No
18,22,64186,574,3,5000,Yes
16,24,74577,617,5,5000,Yes
7,38,78147,684,10,18917,No
37,29,74425,668,4,10031,No
5,41,90000,697,12,5000,No
11,35,68961,593,4,14362,No
21,47,90000,725,16,8246,No
8,43,90000,634,15,23322,No
32,48,90000,695,9,20874,No
43,30,89005,627,14,10027,No
24,29,79184,615,5,6119,Yes
29,43,90000,696,15,11773,No
7,43,90000,690,11,20542,No
18,29,90000,706,13,14316,No
29,27,72208,609,5,9919,Yes
41,24,65973,598,3,8451,Yes
16,28,63156,607,2,5957,Yes
31,26,72499,702,13,17419,No
25,45,90000,679,16,23756,No
32,25,55115,674,2,5755,Yes
28,23,44603,621,2,5000,Yes
26,47,90000,677,16,21231,No
37,44,79766,637,7,6892,Yes
37,26,58611,575,1,5000,Yes
8,43,90000,679,10,17194,No
32,46,90000,719,15,16634,No
35,26,42481,582,5,5000,Yes
30,35,90000,688,11,15714,No
6,34,86167,694,3,14535,No
46,25,37231,579,1,5000,Yes
27,44,90000,683,13,9554,No
39,22,75886,592,1,5000,Yes
19,25,76872,560,2,5000,Yes
10,36,90000,687,3,10891,No
13,29,66312,580,2,5000,Yes
40,23,58491,587,6,5000,Yes
28,29,78780,589,3,5000,Yes
6,41,53857,574,4,15021,Yes
36,38,90000,696,14,16645,No
32,38,81454,597,10,18569,No
20,26,90000,578,3,16275,Yes
32,27,70593,583,5,9837,Yes
34,40,87967,653,3,15699,No
11,30,77594,560,1,5000,Yes
32,45,90000,625,15,14135,No
29,23,59421,623,4,13364,Yes
35,26,54431,588,5,12392,Yes
31,41,90000,618,5,9072,No
17,24,68514,567,4,5828,Yes
34,34,90000,717,16,23125,No
9,23,50921,573,1,7654,Yes
28,30,58185,597,2,5780,Yes
14,43,81437,691,9,16790,No
6,44,90000,714,5,18202,No
40,31,59514,587,3,5000,Yes
9,22,71836,560,6,5000,Yes
35,23,83955,599,4,5000,Yes
40,37,82658,608,4,13746,Yes
30,22,53878,605,1,5000,Yes
37,25,79625,703,13,20461,No
8,23,48356,560,5,9664,Yes
23,43,70248,612,13,15291,No
21,28,65989,593,3,6088,Yes
37,23,72320,585,5,5000,Yes
6,36,90000,693,10,10152,No
9,48,90000,634,7,12793,No
7,30,90000,693,13,16676,No
7,43,90000,699,7,15377,No
45,26,61220,560,2,5000,Yes
25,37,83873,632,14,13481,No
30,48,90000,706,16,16196,No
46,29,90000,611,9,21344,No
33,29,73118,576,3,5000,Yes
1,29,90000,707,7,20615,No
30,25,47968,562,4,12113,Yes
4,48,90000,668,12,20161,No
4,28,47080,573,2,12963,Yes
32,36,90000,705,12,16492,No
18,46,76419,712,7,21227,No
30,41,90000,715,16,22822,No
33,24,65165,614,2,12862,Yes
6,45,82698,717,14,25158,No
30,31,87376,697,4,16438,No
28,24,77650,575,3,9673,Yes
36,29,73453,583,3,10877,Yes
37,21,81870,618,2,5000,Yes
27,41,90000,705,16,23342,No
1,40,89086,702,10,8589,No
25,42,90000,705,12,12431,No
19,39,78000,701,15,13823,No
39,32,52460,560,3,12037,Yes
29,40,75885,703,7,24944,No
30,25,62211,638,7,5000,Yes
34,22,54211,592,2,6049,Yes
27,45,90000,691,16,17597,No
36,36,85999,618,5,13140,No
25,21,76726,591,4,5000,Yes
30,25,51932,658,3,5000,Yes
31,44,90000,699,6,17459,No
30,25,66939,575,4,5000,Yes
9,26,79963,581,8,5000,Yes
14,25,59499,577,2,9654,Yes
12,28,65563,622,4,9659,Yes
6,35,80211,690,3,6602,No
29,29,65554,580,2,5000,Yes
30,38,90000,700,3,15279,No
36,38,90000,635,9,13765,No
5,27,90000,701,12,12754,No
2,33,90000,691,15,20576,No
7,43,90000,686,11,20411,No
31,26,83773,560,3,10308,Yes
2,47,90000,604,3,21208,No
13,29,90000,651,3,18485,No
8,24,72598,562,4,9051,Yes
41,28,45892,588,3,6844,Yes
35,35,69083,705,11,16475,No
18,48,90000,629,4,9937,No
40,27,68264,611,7,6865,Yes
23,44,90000,722,7,8997,No
34,29,90000,699,8,15071,No
3,43,80258,688,9,10949,No
30,23,59108,610,2,5000,Yes
39,23,72020,615,6,5000,Yes
18,37,85695,694,13,11891,No
16,38,87420,604,6,9660,No
6,45,90000,694,16,21601,No
6,24,68963,615,7,13485,Yes
9,36,87757,711,16,9243,No
27,41,90000,702,6,15849,No
42,25,60380,630,7,16815,Yes
5,36,90000,626,6,9039,Yes
37,41,55092,608,7,6816,Yes
18,48,90000,695,16,23276,No
13,24,72121,572,7,9534,Yes
25,35,87981,715,7,16632,No
9,35,83143,624,7,15524,No
16,24,82216,610,5,5930,Yes
20,45,90000,699,9,12161,No
41,26,56486,560,2,5000,Yes
8,37,77196,592,1,7402,Yes
41,21,79574,604,8,8735,Yes
22,47,90000,698,16,25568,No
40,24,78863,574,5,6600,Yes
7,25,63825,644,3,5000,Yes
42,40,79749,612,15,14116,No
35,44,90000,684,13,6401,No
1,44,90000,702,11,25990,No
34,38,90000,693,6,19330,No
36,27,51135,568,4,9920,Yes
18,24,75084,560,1,6286,Yes
33,41,87327,717,12,7167,No
29,30,71954,569,6,9153,Yes
44,22,46175,560,1,5000,Yes
32,45,78828,689,8,20878,No
38,31,83101,639,2,5000,No
6,34,90000,603,8,16857,No
26,28,90000,629,11,11719,No
21,26,84223,581,6,11814,Yes
36,43,90000,710,15,20970,No
33,23,56012,569,1,5000,Yes
13,28,57088,623,4,5590,Yes
12,43,90000,722,13,10389,No
28,40,88521,611,5,14916,No
35,23,42301,569,1,5000,Yes
15,44,90000,680,9,13523,No
38,48,90000,732,16,19113,No
30,30,74438,605,6,9899,Yes
32,25,38424,629,3,8642,Yes
30,45,77853,687,7,16894,No
28,41,90000,689,15,14670,No
35,21,67189,641,6,5000,Yes
46,26,66156,611,4,7603,Yes
12,37,67773,574,2,5000,Yes
26,41,90000,697,14,16530,No
38,24,67480,599,6,11526,Yes
27,25,77643,614,1,8417,Yes
15,31,86739,683,3,10056,No
16,26,62998,592,2,6559,Yes
32,39,90000,713,4,18264,No
12,45,90000,687,14,18865,No
16,27,65233,594,6,6472,Yes
8,43,90000,698,16,20651,No
40,43,90000,711,3,12470,No
16,23,49507,612,4,5000,Yes
3,45,90000,713,6,8718,No
35,45,73074,560,2,5000,Yes
32,31,56972,592,4,5000,Yes
32,21,64231,560,5,5000,Yes
1,41,90000,715,15,12576,No
31,37,77987,712,15,20981,No
24,21,47075,560,5,6521,Yes
30,22,68159,560,3,7191,Yes
38,27,58046,562,1,5000,Yes
32,22,45131,570,5,5000,Yes
16,26,75989,594,3,5000,Yes
29,44,90000,705,7,22473,No
30,41,90000,686,16,26021,No
31,43,90000,690,11,17920,No
17,37,85228,627,5,8545,No
9,24,45779,560,7,9488,Yes
10,36,90000,685,3,13505,No
36,32,78002,647,9,5000,Yes
4,35,82155,620,16,16506,No
13,29,90000,603,1,10437,Yes
2,46,90000,688,12,11238,No
21,40,90000,679,5,12156,No
3,38,90000,664,12,20390,No
29,21,65984,584,1,5000,Yes
29,48,90000,736,16,29000,No
20,41,82181,685,15,17112,No
33,30,90000,696,11,8989,No
10,40,80822,695,8,10121,No
45,30,79441,622,4,11735,Yes
39,26,90000,603,5,5000,Yes
20,43,90000,696,10,13832,No
2,37,90000,675,10,12999,No
8,39,85116,672,11,12484,No
34,26,79850,580,2,5000,Yes
33,30,80302,588,1,5000,Yes
34,33,90000,701,12,19082,No
12,26,62657,578,1,9456,Yes
31,48,90000,684,14,26798,No
33,41,90000,666,15,20785,No
18,27,72609,619,7,8192,Yes
28,21,82769,560,4,5000,Yes
9,25,74579,570,7,5000,Yes
1,32,71785,684,15,13969,No
2,35,82999,704,13,15571,No
29,30,59155,588,5,11325,Yes
12,22,57339,612,3,5028,Yes
35,33,90000,705,10,9130,No
29,35,61277,591,3,9602,Yes
32,39,90000,702,8,13815,No
35,26,90000,677,10,8140,No
31,35,58789,672,3,15241,No
1,44,90000,684,14,23668,No
20,36,82332,587,3,8409,Yes
23,48,90000,681,12,27740,No
32,27,57210,560,4,9788,Yes
